spcode,light,block,h1,h2,baseW.a,baseW.b,canW.a,canW.b,tiller.num,tiller1tck.a,tiller1tck.b,tiller2tck.a,tiller2tck.b,tiller3tck.a,tiller3tck.b
dica8,s,b1,11.6,43,3.8,3.3,46,31,41,1.16,1.34,1.13,1.22,0.74,0.83
dica8,s,b1,11.6,43,2.2,2.9,50,30,41,1.19,1.33,0.95,1.04,0.88,1.07
dica8,s,b1,11.6,43,3,3.2,40,41,41,1.03,1.23,1.14,1.03,0.73,0.82
sesc2,s,b1,21.3,61,3.5,2.7,26,40.1,13,2.28,2.93,2.18,3.22,2.39,2.69
sesc2,s,b1,21.3,61,2.4,3.9,24.5,22,13,2.38,2.64,2.24,3.34,3.38,2.52
sesc2,s,b1,21.3,61,3.2,3.2,32.5,28,13,2.08,2.53,1.7,1.81,1.98,2.46
bosa,s,b1,19.3,62.1,1.4,2.3,42.5,22.5,23,0.85,1.04,0.94,1.04,1.21,1.4
bosa,s,b1,19.3,62.1,3.2,2.7,41.4,39,23,0.9,1.17,0.85,0.94,1.18,1.32
bosa,s,b1,19.3,62.1,2.8,1.7,29.5,34.5,23,1.12,1.06,0.93,0.84,1.1,1.11
dica8,fs,b1,12,66.9,5.2,5,83,39,52,1.51,1.57,1.46,1.57,1.39,1.43
dica8,fs,b1,12,66.9,4.8,5.9,59.5,47,52,1.06,1.13,1.19,1.27,1.36,1.48
dica8,fs,b1,12,66.9,4.8,4.6,49,58,52,0.96,1.12,1.23,1.23,1.17,1.18
sesc2,fs,b1,2.9,57,7.5,5,95,20,21,2.02,2.8,2.05,2.52,2.42,2.86
sesc2,fs,b1,2.9,57,6.7,6,38,42,21,2.1,2.85,2.77,4.25,2.76,2.29
sesc2,fs,b1,2.9,57,4,6.8,46,36,21,2.11,2.81,1.87,2.3,2.78,2.18
paha,s,b1,3.5,51,3.5,4.6,45,24.5,31,1.19,1.35,1.44,1.97,1.62,1.75
paha,s,b1,3.5,51,4.7,3.9,41.1,56.5,31,1.57,1.73,1.27,1.53,1.13,1.5
paha,s,b1,3.5,51,2.6,3.7,57.5,36,31,1,1.04,1.01,1.17,1.36,1.14
paha,fs,b1,3.5,79,6.2,5.3,41,29,78,1.79,2.38,1.95,2.32,2.09,2.58
paha,fs,b1,3.5,79,5.7,7.5,55,32,78,1.76,1.88,1.84,1.93,2.38,2.73
paha,fs,b1,3.5,79,6.4,6.8,47,44,78,0.98,1.57,2.15,1.58,1.72,3.16
feru2,fs,b1,3,25.5,9.4,8.4,12.6,12.6,123,1.05,1.32,1.21,1.46,1.25,1.45
feru2,fs,b1,3,25.5,10,8,12.6,12.6,123,1.01,1.35,1.19,1.12,1.16,1.39
feru2,fs,b1,3,25.5,9,7.9,12.6,12.6,123,0.88,1.21,0.94,1.52,1,1.35
poco,s,b1,2.9,30,10.5,9.2,12.6,12.6,59,0.63,0.88,0.5,1.38,0.6,1.52
poco,s,b1,2.9,30,7.7,6.7,12.6,12.6,59,0.81,1.73,0.63,1.32,0.45,1.47
poco,s,b1,2.9,30,6.5,8.3,12.6,12.6,59,1.17,2.64,0.72,1.4,0.78,1.66
pimi,fs,b1,4.2,30,4.5,4.5,12.6,12.6,174,1.11,1.86,0.69,0.81,0.95,0.93
pimi,fs,b1,4.2,30,6,4.5,12.6,12.6,174,0.99,1.34,0.79,0.96,0.75,0.74
pimi,fs,b1,4.2,30,4.5,4.9,12.6,12.6,174,0.88,0.89,0.68,0.66,0.65,0.49
bogr2,fs,b1,6.3,46,8.2,7,38,17,201,0.73,1.08,1.02,1.19,1.51,1.96
bogr2,fs,b1,6.3,46,7.5,10,27,18,201,0.89,1.08,0.94,1.34,0.82,1.79
bogr2,fs,b1,6.3,46,9.2,8.7,23.5,13.5,201,0.51,0.93,0.98,1.15,0.65,0.67
arpu9,s,b1,11,43.5,3.9,4,38,31,75,0.74,0.9,0.69,0.8,0.63,0.96
arpu9,s,b1,11,43.5,4,4.6,36,38,75,0.8,0.72,0.96,1.37,0.58,0.92
arpu9,s,b1,11,43.5,4.5,4,42,29,75,0.72,0.91,0.59,1,0.54,0.56
poco,fs,b1,2.5,20.3,7,7.5,12.6,12.6,90,1.07,1.59,0.8,1.04,0.84,1.76
poco,fs,b1,2.5,20.3,8,7.9,12.6,12.6,90,1.05,1.65,0.92,1.44,0.97,2.31
poco,fs,b1,2.5,20.3,9,10,12.6,12.6,90,0.85,2.03,0.68,2.16,1.12,1.67
ercu2,s,b1,12.4,46,7,5.7,27,29,78,0.99,2.02,0.92,2.18,1.37,2.89
ercu2,s,b1,12.4,46,5.5,5.6,30,28,78,0.92,1.64,0.98,1.7,1.19,1.84
ercu2,s,b1,12.4,46,5.7,6.5,28,28,78,0.84,1.46,0.69,1.44,1.06,1.37
bosa,fs,b1,11,52,5,2.9,67.5,22.5,34,1.21,1.43,1.31,1.51,1.35,1.59
bosa,fs,b1,11,52,3.1,4.5,30,72,34,1.28,1.48,1.54,1.65,1.14,1.27
